published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-02-07,860.00,861.37,841.98,847.88,-1.41,38988.0,33293406.8,-1
2021-02-08,847.88,870.98,839.78,869.67,2.57,153021.0,131410727.4,-1
2021-02-09,869.67,870.78,844.42,849.82,-2.28,83088.0,71434666.4,-1
2021-02-10,849.82,857.00,808.01,822.00,-3.27,52453.0,43845960.2,-1
2021-02-11,822.00,862.59,811.67,851.42,3.58,36216.0,30302243.1,-1
2021-02-12,851.42,858.90,845.93,856.67,0.62,32211.0,27509697.9,-1
2021-02-15,856.67,861.21,854.60,860.56,0.45,161737.0,138869701.4,-1
2021-02-16,860.56,865.54,821.06,834.24,-3.06,67376.0,57094394.4,-1
2021-02-17,834.24,843.52,804.70,807.75,-3.18,45540.0,37388213.2,-1
2021-02-18,807.75,811.12,807.48,810.84,0.38,73990.0,59879657.1,-1
2021-02-19,810.84,812.49,808.18,810.60,-0.03,142054.0,115166055.2,-1
2021-02-22,810.60,818.77,808.87,816.15,0.68,228241.0,185646262.1,-1
2021-02-23,816.15,826.64,794.14,795.24,-2.56,98708.0,79528852.1,-1
2021-02-24,795.24,800.17,792.47,796.85,0.20,95481.0,76007198.3,-1
2021-02-25,796.85,804.27,793.53,803.79,0.87,63243.0,50614619.4,-1
2021-02-26,803.79,822.04,798.28,820.33,2.06,30277.0,24586745.9,-1
2021-03-01,820.33,852.06,810.19,850.65,3.70,226856.0,189535460.2,-1
2021-03-02,850.65,881.15,839.68,876.20,3.00,175810.0,151798615.6,-1
2021-03-03,876.20,878.68,875.75,875.97,-0.03,44535.0,39016386.7,-1
2021-03-04,875.97,915.94,863.63,907.13,3.56,35904.0,32010145.8,-1
2021-03-05,907.13,927.43,900.55,923.90,1.85,198582.0,181805172.2,-1
2021-03-08,923.90,951.94,918.16,947.70,2.58,195283.0,182746152.0,-1
2021-03-09,947.70,955.98,932.97,936.10,-1.22,180148.0,169681227.4,-1
2021-03-10,936.10,937.12,894.11,907.42,-3.06,53905.0,49687573.3,-1
2021-03-11,907.42,929.36,896.74,924.73,1.91,150156.0,137554349.7,-1
2021-03-12,924.73,933.04,883.53,893.70,-3.36,55894.0,50819619.5,-1
2021-03-15,893.70,928.98,889.69,916.53,2.55,128867.0,116639313.7,-1
2021-03-16,916.53,966.42,908.60,952.20,3.89,80490.0,75206792.9,-1
2021-03-17,952.20,955.07,921.83,925.61,-2.79,81167.0,76207752.2,-1
2021-03-18,925.61,943.11,885.63,889.47,-3.90,93906.0,85223408.1,-1
2021-03-19,889.47,898.12,846.56,854.19,-3.97,168462.0,146870264.2,-1
2021-03-22,854.19,855.34,833.89,841.79,-1.45,181898.0,154247469.9,-1
2021-03-23,841.79,858.31,838.04,852.23,1.24,248322.0,210331022.7,-1
2021-03-24,852.23,882.28,842.22,871.32,2.24,122859.0,105876335.3,-1
2021-03-25,871.32,873.90,861.05,864.21,-0.82,124973.0,108446878.4,-1
2021-03-26,864.21,865.43,830.16,833.95,-3.50,62546.0,53106403.5,-1
2021-03-29,833.95,843.56,806.28,807.92,-3.12,168578.0,138391278.2,-1
2021-03-30,807.92,809.37,780.19,785.38,-2.79,26684.0,21257842.0,-1
2021-03-31,785.38,788.81,752.18,758.38,-3.44,186306.0,143806357.8,-1
2021-04-01,758.38,762.04,739.52,743.35,-1.98,52202.0,39196842.5,-1
2021-04-02,743.35,750.40,706.36,720.48,-3.08,145932.0,106809983.0,-1
2021-04-05,720.48,720.78,719.19,719.55,-0.13,109819.0,79071120.7,-1
2021-04-06,719.55,738.13,712.68,733.38,1.92,155353.0,112858518.6,-1
2021-04-07,733.38,749.54,696.43,705.40,-3.82,58430.0,42034111.8,-1
2021-04-08,705.40,723.77,699.06,716.13,1.52,98142.0,69755944.5,-1
2021-04-09,716.13,757.97,704.50,743.54,3.83,88449.0,64553190.7,-1
2021-04-12,743.54,747.86,742.28,744.64,0.15,78403.0,58338814.1,-1
2021-04-13,744.64,749.67,743.33,746.58,0.26,78469.0,58507034.7,-1
2021-04-14,746.58,758.37,741.74,753.34,0.91,71156.0,53364090.6,-1
2021-04-15,753.34,781.79,744.30,771.79,2.45,79438.0,60576536.4,-1
2021-04-16,771.79,777.83,744.29,753.26,-2.40,27323.0,20834415.8,-1
2021-04-19,753.26,776.29,750.99,770.74,2.32,178633.0,136118393.0,-1
2021-04-20,770.74,806.53,754.74,798.89,3.65,111624.0,87604268.9,-1
2021-04-21,798.89,834.37,795.02,827.97,3.64,79466.0,64640007.1,-1
2021-04-22,827.97,829.32,824.06,825.99,-0.24,179976.0,148836306.8,-1
2021-04-23,825.99,855.31,816.68,848.48,2.72,229621.0,192246862.6,-1
2021-04-26,848.48,864.76,847.54,858.20,1.15,121852.0,103981332.8,-1
2021-04-27,858.20,887.10,852.13,877.58,2.26,66798.0,57973311.7,-1
2021-04-28,877.58,880.96,872.48,872.94,-0.53,209222.0,183123934.6,-1
2021-04-29,872.94,875.61,859.38,865.67,-0.83,210001.0,182554887.8,-1
2021-04-30,865.67,880.38,841.63,842.04,-2.73,174877.0,149319614.7,-1
2021-05-03,842.04,882.73,839.61,869.31,3.24,236664.0,202508294.5,-1
2021-05-04,869.31,878.99,863.38,875.98,0.77,60871.0,53118971.8,-1
2021-05-05,875.98,880.01,875.91,879.39,0.39,210413.0,184676738.4,-1
2021-05-06,879.39,894.27,871.68,889.92,1.20,133720.0,118296313.0,-1
2021-05-07,889.92,928.52,872.16,924.56,3.89,27338.0,24802165.0,-1
2021-05-10,924.56,928.13,903.28,906.21,-1.99,173730.0,159029535.4,-1
2021-05-11,906.21,911.27,885.83,893.59,-1.39,35965.0,32364829.3,-1
2021-05-12,893.59,929.15,885.50,922.90,3.28,172921.0,157054780.7,-1
2021-05-13,922.90,953.72,910.80,946.16,2.52,151504.0,141585280.9,-1
2021-05-14,946.16,948.74,909.55,918.21,-2.95,248800.0,231928279.5,-1
2021-05-17,918.21,919.17,913.79,913.82,-0.48,229497.0,210222507.3,-1
2021-05-18,913.82,916.05,878.43,888.21,-2.80,51545.0,46442788.8,-1
2021-05-19,888.21,893.86,885.62,892.23,0.45,165605.0,147424932.2,-1
2021-05-20,892.23,895.04,887.78,890.98,-0.14,34895.0,31112443.8,-1
2021-05-21,890.98,894.29,863.81,873.05,-2.01,153094.0,135030947.3,-1
2021-05-24,873.05,873.18,865.53,869.71,-0.38,36611.0,31902085.1,-1
2021-05-25,869.71,872.76,863.25,865.76,-0.45,154260.0,133856858.4,-1
2021-05-26,865.76,869.48,838.13,844.94,-2.40,231645.0,198137846.0,-1
2021-05-27,844.94,848.46,840.84,843.46,-0.18,249778.0,210862376.2,-1
2021-05-28,843.46,883.38,828.98,868.83,3.01,73107.0,62589946.5,-1
2021-05-31,868.83,894.49,867.02,892.46,2.72,135898.0,119677550.4,-1
2021-06-01,892.46,898.88,875.22,879.32,-1.47,75755.0,67110542.9,-1
2021-06-02,879.32,898.27,871.28,891.24,1.36,60487.0,53547984.6,-1
2021-06-03,891.24,934.59,884.41,922.58,3.52,86350.0,78311668.7,-1
2021-06-04,922.58,967.41,918.82,950.83,3.06,44674.0,41846395.3,-1
2021-06-07,950.83,954.18,936.29,943.09,-0.81,238220.0,225585741.3,-1
2021-06-08,943.09,952.57,908.91,922.25,-2.21,125856.0,117382323.8,-1
2021-06-09,922.25,924.00,907.53,910.38,-1.29,209307.0,191790942.0,-1
2021-06-10,910.38,913.04,897.00,900.62,-1.07,204326.0,185016718.2,-1
